"Tempo","Tensão A","Tensão B","Corrente"
0.000,0.015,6.273,0.00
0.050,0.015,6.271,0.00
0.100,0.015,6.271,0.00
0.150,0.015,6.272,0.00
0.200,0.015,6.273,0.00
0.250,0.015,6.272,0.00
0.300,0.015,6.271,0.00
0.350,0.015,6.272,0.00
0.400,0.015,6.274,0.00
0.450,0.015,6.273,0.00
0.500,0.015,6.272,0.00
0.550,0.015,6.272,0.00
0.600,0.015,6.273,0.00
0.650,0.015,6.273,0.00
0.700,0.015,6.272,0.00
0.750,0.015,6.272,0.00
0.800,0.015,6.273,0.00
0.850,0.015,6.274,0.00
0.900,0.015,6.273,0.00
0.950,0.015,6.272,0.00
1.000,0.015,6.272,0.00
1.050,0.015,6.273,0.00
1.100,0.015,6.273,0.00
1.150,0.015,6.271,0.00
1.200,0.015,6.271,0.00
1.250,0.015,6.272,0.00
1.300,0.015,6.273,0.00
1.350,0.015,6.272,0.00
1.400,0.015,6.271,0.00
1.450,0.015,6.272,0.00
1.500,0.015,6.272,0.00
1.550,0.015,6.272,0.00
1.600,0.015,6.271,0.00
1.650,0.015,6.271,0.00
1.700,0.015,6.272,0.00
1.750,0.015,6.271,0.00
1.800,0.015,6.270,0.00
1.850,0.015,6.270,0.00
1.900,0.015,6.271,0.00
1.950,0.015,6.271,0.00
2.000,0.015,6.271,0.00
2.050,0.015,6.270,0.00
2.100,0.016,6.270,0.00
2.150,0.016,6.271,0.00
2.200,0.016,6.270,0.00
2.250,0.016,6.269,0.00
2.300,0.015,6.269,0.00
2.350,0.016,6.270,0.00
2.400,0.016,6.270,0.00
2.450,0.016,6.269,0.00
2.500,0.016,6.269,0.00
2.550,0.016,6.270,0.00
2.600,0.016,6.270,0.00
2.650,0.016,6.269,0.00
2.700,0.016,6.268,0.00
2.750,0.016,6.269,0.00
2.800,0.016,6.269,0.00
2.850,0.016,6.269,0.00
2.900,0.016,6.268,0.00
2.950,0.016,6.268,0.00
3.000,0.016,6.268,0.00
3.050,0.016,6.268,0.00
3.100,0.016,6.268,0.00
3.150,0.016,6.267,0.00
3.200,0.016,6.268,0.00
3.250,0.016,6.268,0.00
3.300,0.016,6.268,0.00
3.350,0.016,6.267,0.00
3.400,0.016,6.267,0.00
3.450,0.016,6.267,0.00
3.500,0.016,6.267,0.00
3.550,0.016,6.266,0.00
3.600,0.016,6.266,0.00
3.650,0.016,6.268,0.00
3.700,0.016,6.267,0.00
3.750,0.016,6.266,0.00
3.800,0.016,6.266,0.00
3.850,0.017,6.267,0.00
3.900,0.017,6.267,0.00
3.950,0.017,6.266,0.00
4.000,0.017,6.265,0.00
4.050,0.017,6.265,0.00
4.100,0.017,6.266,0.00
4.150,0.017,6.265,0.00
4.200,0.017,6.264,0.00
4.250,0.017,6.264,0.00
4.300,0.017,6.265,0.00
4.350,0.017,6.265,0.00
4.400,0.017,6.264,0.00
4.450,0.017,6.263,0.00
4.500,0.017,6.263,0.00
4.550,0.017,6.264,0.00
4.600,0.017,6.263,0.00
4.650,0.017,6.263,0.00
4.700,0.017,6.262,0.00
4.750,0.017,6.263,0.00
4.800,0.017,6.262,0.00
4.850,0.017,6.261,0.00
4.900,0.017,6.261,0.00
4.950,0.017,6.262,0.00
5.000,0.017,6.262,0.00
5.050,0.018,6.261,0.00
5.100,0.018,6.261,0.00
5.150,0.017,6.261,0.00
5.200,0.017,6.262,0.00
5.250,0.018,6.261,0.00
5.300,0.018,6.261,0.00
5.350,0.018,6.260,0.00
5.400,0.018,6.261,0.00
5.450,0.018,6.260,0.00
5.500,0.018,6.260,0.00
5.550,0.018,6.259,0.00
5.600,0.018,6.260,0.00
5.650,0.018,6.261,0.00
5.700,0.018,6.259,0.00
5.750,0.018,6.259,0.00
5.800,0.018,6.259,0.00
5.850,0.018,6.259,0.00
5.900,0.018,6.259,0.00
5.950,0.018,6.258,0.00
6.000,0.018,6.257,0.00
6.050,0.018,6.257,0.00
6.100,0.018,6.257,0.00
6.150,0.018,6.257,0.00
6.200,0.018,6.257,0.00
6.250,0.018,6.257,0.00
6.300,0.018,6.256,0.00
6.350,0.019,6.255,0.00
6.400,0.019,6.255,0.00
6.450,0.019,6.255,0.00
6.500,0.019,6.255,0.00
6.550,0.019,6.255,0.00
6.600,0.019,6.255,0.00
6.650,0.019,6.254,0.00
6.700,0.019,6.254,0.00
6.750,0.019,6.254,0.00
6.800,0.019,6.254,0.00
6.850,0.019,6.254,0.00
6.900,0.019,6.253,0.00
6.950,0.019,6.254,0.00
7.000,0.019,6.253,0.00
7.050,0.019,6.252,0.00
7.100,0.019,6.252,0.00
7.150,0.019,6.252,0.00
7.200,0.019,6.252,0.00
7.250,0.019,6.251,0.00
7.300,0.019,6.252,0.00
7.350,0.019,6.251,0.00
7.400,0.020,6.251,0.00
7.450,0.020,6.250,0.00
7.500,0.020,6.250,0.00
7.550,0.020,6.250,0.00
7.600,0.020,6.251,0.00
7.650,0.020,6.250,0.00
7.700,0.020,6.250,0.00
7.750,0.020,6.249,0.00
7.800,0.020,6.249,0.00
7.850,0.020,6.248,0.00
7.900,0.020,6.248,0.00
7.950,0.020,6.248,0.00
8.000,0.020,6.248,0.00
8.050,0.020,6.248,0.00
8.100,0.020,6.247,0.00
8.150,0.021,6.246,0.00
8.200,0.020,6.246,0.00
8.250,0.020,6.246,0.00
8.300,0.020,6.246,0.00
8.350,0.021,6.246,0.00
8.400,0.021,6.245,0.00
8.450,0.021,6.245,0.00
8.500,0.021,6.244,0.00
8.550,0.021,6.244,0.00
8.600,0.021,6.244,0.00
8.650,0.021,6.244,0.00
8.700,0.021,6.244,0.00
8.750,0.021,6.244,0.00
8.800,0.021,6.243,0.00
8.850,0.021,6.243,0.00
8.900,0.021,6.243,0.00
8.950,0.021,6.243,0.00
9.000,0.021,6.243,0.00
9.050,0.021,6.242,0.00
9.100,0.022,6.242,0.00
9.150,0.022,6.241,0.00
9.200,0.022,6.241,0.00
9.250,0.022,6.241,0.00
9.300,0.022,6.241,0.00
9.350,0.022,6.240,0.00
9.400,0.022,6.240,0.00
9.450,0.022,6.240,0.00
9.500,0.022,6.240,0.00
9.550,0.022,6.239,0.00
9.600,0.022,6.239,0.00
9.650,0.022,6.238,0.00
9.700,0.022,6.238,0.00
9.750,0.022,6.238,0.00
9.800,0.022,6.238,0.00
9.850,0.022,6.238,0.00
