Frequencia	Entrada	Saida	sFrequencia	Ganho	sGanho
10.4359	1.0	0.031	0.272	0.031	0.002
20.1637	1.0	0.057	0.407	0.057	0.002
49.901	1.0	0.134	1.25	0.134	0.003
102.464	1.0	0.283	2.62	0.283	0.011
150.418	1.0	0.377	2.26	0.377	0.012
200.812	1.0	0.482	4.03	0.482	0.013
251.527	1.0	0.559	6.33	0.559	0.015
300.236	1.0	0.631	9.01	0.631	0.016
350.743	1.0	0.678	6.15	0.678	0.017
397.441	1.0	0.718	7.9	0.718	0.017
451.131	1.0	0.761	10.2	0.761	0.025
507.746	1.0	0.792	12.9	0.792	0.025
554.521	1.0	0.816	15.4	0.816	0.026
609.305	1.0	0.840	9.28	0.840	0.026
652.858	1.0	0.855	10.7	0.855	0.026
701.595	1.0	0.863	12.3	0.863	0.026
752.414	1.0	0.879	14.2	0.879	0.026
800.311	1.0	0.888	16	0.888	0.027
857.504	1.0	0.896	18.4	0.896	0.027
908.438	1.0	0.904	20.6	0.904	0.027
953.414	1.0	0.912	22.7	0.912	0.027
1010	1.0	0.903	25.3	0.903	0.027
2010	1.0	0.974	40.4	0.974	0.028
4660	1.0	0.990	109	0.990	0.028
10000	1.0	0.990	252	0.990	0.027
20200	1.0	1.000	407	1.000	0.028
50500	1.0	1.000	1280	1.000	0.028
100000	1.0	0.990	2500	0.990	0.027
223000	1.0	1.010	4960	1.010	0.028
502000	1.0	0.990	12600	0.990	0.027
1010000	1.0	1.000	25400	1.000	0.028
