Frequencia	Entrada	Saída	sFrequencia	Ganho	sGanho
10.1036	1.0	0.981	0.255	0.981	0.0264
20.0346	1.0	0.981	0.401	0.981	0.0264
50.8047	1.0	0.962	1.29	0.962	0.0262
100.167	1.0	0.936	2.51	0.936	0.0258
150.648	1.0	0.898	2.27	0.898	0.0254
202.021	1.0	0.845	4.08	0.845	0.0247
250.974	1.0	0.800	6.3	0.8	0.0244
304.381	1.0	0.753	4.63	0.753	0.0243
353.096	1.0	0.707	6.23	0.707	0.0238
402.86	1.0	0.652	8.11	0.652	0.016
450.381	1.0	0.614	10.1	0.614	0.0154
508.545	1.0	0.576	12.9	0.576	0.015
552.726	1.0	0.541	15.3	0.541	0.0144
604.927	1.0	0.506	18.3	0.506	0.0139
652.496	1.0	0.478	10.6	0.478	0.0136
703.453	1.0	0.451	12.4	0.451	0.0132
750.413	1.0	0.427	14.1	0.427	0.0129
805.069	1.0	0.404	16.2	0.404	0.0126
853.064	1.0	0.384	18.2	0.384	0.0124
910.26	1.0	0.365	20.7	0.365	0.0121
951.417	1.0	0.354	22.6	0.354	0.0086
1010	1.0	0.331	25.4	0.331	0.0081
1250	1.0	0.277	39.2	0.277	0.0074
1510	1.0	0.233	22.9	0.233	0.0067
2010	1.0	0.180	40.4	0.18	0.006
3000	1.0	0.120	90.3	0.12	0.0031
5090	1.0	0.073	129	0.073	0.0024
10300	1.0	0.037	267	0.037	0.0021
20200	1.0	0.021	409	0.021	0.002
50700	1.0	0.011	2570	0.011	0.002
101000	1.0	0.012	2540	0.012	0.002
