Frequência Meta (Hz),Frequência (Hz),Tensão Entrada (V),Tensão Saída (V),Fase Entrada (º),Fase Saída (º),Ganho,Inc. Tensão Entrada (V),Inc. Tensão Saída (V),Inc. Frequência (Hz)
1.00E+01,1.04E+01,1.12,3.68E-02,-87.5,84.5,3.29E-02,1.00E-02,1.00E-04,1.00E-01
2.00E+01,2.00E+01,1.12,7.00E-02,-82.2,82.9,6.25E-02,1.00E-02,1.00E-04,1.00E-01
4.00E+01,4.03E+01,1.16,1.36E-01,-79.3,79.5,1.17E-01,1.00E-02,1.00E-03,1.00E-01
8.00E+01,8.17E+01,1.12,2.80E-01,-74.9,74.4,2.50E-01,1.00E-02,1.00E-03,1.00E-01
1.60E+02,1.56E+02,1.12,4.60E-01,-58.2,59.2,4.11E-01,1.00E-02,1.00E-03,1.00E+00
3.20E+02,3.21E+02,1.12,7.00E-01,-35.0,36.3,6.25E-01,1.00E-02,1.00E-03,1.00E+00
6.40E+02,6.38E+02,1.12,8.60E-01,-12.4,12.8,7.68E-01,1.00E-02,1.00E-03,1.00E+00
1.28E+03,1.29E+03,1.12,9.00E-01,9.2,-9.7,8.04E-01,1.00E-02,1.00E-03,1.00E+01
2.56E+03,2.65E+03,1.16,8.00E-01,30.9,-29.2,6.90E-01,1.00E-02,1.00E-03,1.00E+01
5.12E+03,5.19E+03,1.16,5.60E-01,55.6,-52.5,4.83E-01,1.00E-02,1.00E-03,1.00E+01
1.02E+04,1.03E+04,1.16,3.00E-01,67.5,-67.2,2.59E-01,1.00E-02,1.00E-03,1.00E+02
2.05E+04,2.02E+04,1.16,1.76E-01,78.6,-77.2,1.52E-01,1.00E-02,1.00E-03,1.00E+02
4.10E+04,4.10E+04,1.16,9.20E-02,83.1,-81.0,7.93E-02,1.00E-02,1.00E-04,1.00E+02
8.19E+04,8.17E+04,1.16,4.60E-02,85.3,-87.5,3.97E-02,1.00E-02,1.00E-04,1.00E+02
1.64E+05,1.63E+05,1.16,2.32E-02,86.9,-88.8,2.00E-02,1.00E-02,1.00E-04,1.00E+03
3.28E+05,3.27E+05,1.16,1.32E-02,84.9,-86.2,1.14E-02,1.00E-02,1.00E-04,1.00E+03
6.55E+05,6.58E+05,1.20,6.40E-03,90.4,,5.33E-03,1.00E-02,1.00E-05,1.00E+03
1.31E+06,1.30E+06,1.28,4.00E-03,,,3.13E-03,1.00E-02,1.00E-05,1.00E+04
2.62E+06,2.62E+06,1.20,3.60E-03,,,3.00E-03,1.00E-02,1.00E-05,1.00E+04
