Frequência Meta (Hz),Frequência (Hz),Tensão Entrada (V),Tensão Saída (V),Defasagem 1 (º),Defasagem 2 (º),Ganho,Inc. Tensão Entrada (V),Inc. Tensão Saída (V),Inc. Frequência (Hz)
1.00E+01,1.04E+01,1.16,4.00E-02,-85,84.8,3.45E-02,1.00E-02,1.00E-04,1.00E-01
2.00E+01,2.03E+01,1.12,7.00E-02,-83.6,83.9,6.25E-02,1.00E-02,1.00E-04,1.00E-01
4.00E+01,4.06E+01,1.12,1.40E-01,-80.7,81.7,1.25E-01,1.00E-02,1.00E-03,1.00E-01
8.00E+01,7.99E+01,1.12,2.60E-01,-71.7,73.4,2.32E-01,1.00E-02,1.00E-03,1.00E-01
1.60E+02,1.60E+02,1.12,4.60E-01,-61.6,59.8,4.11E-01,1.00E-02,1.00E-03,1.00E+00
3.20E+02,3.20E+02,1.12,7.20E-01,-43,42.6,6.43E-01,1.00E-02,1.00E-03,1.00E+00
6.40E+02,6.39E+02,1.12,9.00E-01,-21.6,22,8.04E-01,1.00E-02,1.00E-03,1.00E+00
1.28E+03,1.28E+03,1.12,9.80E-01,-8.29,10.1,8.75E-01,1.00E-02,1.00E-03,1.00E+01
2.56E+03,2.58E+03,1.1,1.00E+00,-2.78,1.85,9.09E-01,1.00E-02,1.00E-02,1.00E+01
5.12E+03,5.11E+03,1.12,1.00E+00,6.07,-6.62,8.93E-01,1.00E-02,1.00E-02,1.00E+01
1.02E+04,1.02E+04,1.12,9.80E-01,16.2,-15.4,8.75E-01,1.00E-02,1.00E-03,1.00E+02
2.05E+04,2.03E+04,1.1,8.60E-01,32.3,-32.9,7.82E-01,1.00E-02,1.00E-03,1.00E+02
4.10E+04,4.11E+04,1.1,6.20E-01,50.8,-49.4,5.64E-01,1.00E-02,1.00E-03,1.00E+02
8.19E+04,8.15E+04,1.12,3.84E-01,70.8,-69.5,3.43E-01,1.00E-02,1.00E-03,1.00E+02
1.64E+05,1.62E+05,1.12,2.04E-01,78.2,-79.3,1.82E-01,1.00E-02,1.00E-03,1.00E+03
3.28E+05,3.28E+05,1.12,1.04E-01,85,-84.5,9.29E-02,1.00E-02,1.00E-03,1.00E+03
6.55E+05,6.76E+05,1.2,5.60E-02,91.8,-91.8,4.67E-02,1.00E-02,1.00E-04,1.00E+03
1.31E+06,1.31E+06,1.2,3.00E-02,,,2.50E-02,1.00E-02,1.00E-04,1.00E+04
2.62E+06,2.63E+06,1.2,1.36E-02,,,1.13E-02,1.00E-02,1.00E-04,1.00E+04
