,Unnamed: 0,Frequencia (Hz),Tensao (V),Corrente (A),Inc. Corrente (A)
0,0,10.3,-0.4,-0.0004,0.00014000000000000001
1,1,14.2,-0.2,-0.0002,0.00012
2,2,19.8,-0.2,-0.0002,0.00012
3,3,28.2,-0.2,-0.0002,0.00012
4,4,39.9,0.2,0.0002,0.00012
5,5,56.4,0.0,0.0,0.0001
6,6,81.0,0.4,0.0004,0.00014000000000000001
7,7,113.0,0.6,0.0006,0.00015999999999999999
8,8,160.0,1.2,0.0012,0.00021999999999999998
9,9,226.0,1.8,0.0018,0.00028000000000000003
10,10,321.0,3.2,0.0032,0.00042
11,11,452.0,4.6,0.0046,0.0005600000000000001
12,12,637.0,6.08,0.00608,0.0007080000000000001
13,13,901.0,7.68,0.0076799999999999,0.0008679999999999901
14,14,1260.0,8.74,0.00874,0.000974
15,15,1860.0,7.28,0.00728,0.0008280000000000001
16,16,2510.0,5.92,0.00592,0.0006920000000000001
17,17,3530.0,4.2,0.0042,0.0005200000000000001
18,18,5160.0,3.0,0.003,0.0004
19,19,7230.0,1.6,0.0016,0.00026000000000000003
20,20,10300.0,0.8,0.0008,0.00018
21,21,14200.0,0.0,0.0,0.0001
22,22,20500.0,-0.4,-0.0004,0.00014000000000000001
23,23,28700.0,-0.4,-0.0004,0.00014000000000000001
24,24,41100.0,-0.4,-0.0004,0.00014000000000000001
25,25,57900.0,-0.4,-0.0004,0.00014000000000000001
