Tensão de deflexão (V)	Deslocamento (cm)	Sigma Deslocamento (cm)
-23,7	-4,0	0,2
-22,4	-3,8	0,2
-21,3	-3,6	0,2
-20,2	-3,4	0,2
-19,1	-3,2	0,2
-17,8	-3,0	0,2
-16,8	-2,8	0,2
-15,4	-2,6	0,2
-14,3	-2,4	0,2
-13,2	-2,2	0,1
-12,0	-2,0	0,1
-10,7	-1,8	0,1
-9,6	-1,6	0,1
-8,3	-1,4	0,1
-7,0	-1,2	0,1
-5,9	-1,0	0,1
-4,6	-0,8	0,1
-3,3	-0,6	0,1
-2,1	-0,4	0,1
-0,8	-0,2	0,1
-0,1	0,0	0,2
1,3	0,2	0,1
2,5	0,4	0,1
3,8	0,6	0,1
5,2	0,8	0,1
6,3	1,0	0,1
7,4	1,2	0,1
8,7	1,4	0,2
9,9	1,6	0,2
11,2	1,8	0,2
12,4	2,0	0,2
13,6	2,2	0,2
14,9	2,4	0,2
16,0	2,6	0,2
17,2	2,8	0,2
18,1	3,0	0,2
19,4	3,2	0,2
20,6	3,4	0,2
21,8	3,6	0,2
22,8	3,8	0,2
24,0	4,0	0,2
